,Event,Date
0,"Piedmont Airlines 4860 — Kingsport, TN","June 26, 2019"
1,"N8145X — Kingsport, TN","March 29, 2019"
2,"N5894Y — Pahokee, FL","March 8, 2019"
3,"N67WR — Kingsport, TN","September 19, 2018"
4,"C-GODA — Richmond, VA","September 5, 2018"
5,N101CV — New York,"August 21, 2018"
6,"N99055 — Lake Shore Drive, Chicago, IL","July 27, 2018"
7,Southwest Airlines 1380,"April 17, 2018"
8,"N106ER — Daytona Beach, FL","April 4, 2018"
9,United Airlines 135 — Newark Liberty International Airport,"July 30, 2017"
10,"N2173S — Marineland, FL","July 13, 2017"
11,"PSA Airlines 5559 — Selma, AL","June 21, 2017"
12,"TMC460 — Buffalo, NY","June 10, 2017"
13,"N20825 — Myrtle Beach, SC","May 9, 2017"
14,"N15745 — Bayonne, NJ Emergency Landing","February 19, 2017"
15,N89HU — John Wayne Airport Taxiway Landing,"February 13, 2017"
16,"N614SB — Cleveland, Ohio","December 29, 2016"
17,"N1839X — McGhee Tyson Airport, Knoxville, TN","December 26, 2016"
18,"N15294 — East Hartford, CT","October 11, 2016"
19,"U.S. Air Force A10 Flight — Charlotte, NC","August 29, 2016"
20,"Thunderbird Crash — Colorado Springs, CO","June 2, 2016"
21,"N440H — Syosset, NY","May 3, 2016"
22,"EJM990 — Moline, IL","April 15, 2016"
23,"N7266D — Atlanta, GA","February 14, 2016"
24,N757AF — Nashville International Airport,"February 3, 2016"
25,"N784CP — Mobile, AL","February 1, 2016"
26,"Runway incursion by vehicle Hopkins International Airport — Cleveland, Ohio","January 17, 2016"
27,"Southwest Airlines 31 — Nashville, TN","December 15, 2015"
28,"N237WR — Akron, Ohio","November 10, 2015"
29,"N57312 — Lake Worth, FL","October 13, 2015"
30,"N782TM — Westminster, SC","October 2, 2015"
31,"N5946C — Hicksville, NY","August 16, 2015"
32,"N5626D — Plainville, MA","June 28, 2015"
33,"N5802V — Chamblee, GA","May 8, 2015"
34,SkyWest Flight 6367 (call sign SkyWest 455E),"April 23, 2015"
35,N119RL — Ft. Lauderdale Executive Airport,"April 12, 2015"
36,"N66BB — Norfolk, VA","March 4, 2015"
37,"YV1674 — Miami, Florida","February 11, 2015"
38,"N81291 — Eddyville, Lyons County, Kentucky","January 2, 2015"
39,Hawaiian Airlines Stowaway,"April 20, 2014"
40,"N8309L — Tampa, FL","March 22, 2014"
41,"USAirways 1702 — Philadelphia Intl. Airport, Philadelphia, PA","March 13, 2014"
42,American Eagle Flight 3400,"March 6, 2014"
43,"N732EJ — Birmingham-Shuttlesworth Intl. Airport, Birmingham, AL","February 14, 2014"
44,"Southwest Airlines Flight 4013 — Branson, MO","January 12, 2014"
45,Southwest Airlines 3426 — Raleigh Durham International Air Traffic Control Tower/TRACON,"November 12, 2013"
46,"Mitsubishi MU-2 — Tulsa, OK","November 10, 2013"
47,"UPS1354 — Birmingham-Shuttlesworth International Airport, Birmingham, AL","August 14, 2013"
48,"N26DK Hawker Beechcraft Premier Jet Aircraft Accident — South Bend, IND","March 17, 2013"
49,"N717RL Aircraft Accident — Jackson, MS","November 13, 2012"
50,N83CT Aircraft Incident — Harrisburg International Airport,"October 2, 2012"
51,"Piedmont 4426 NMAC — Norfolk, VA","February 9, 2012"
52,"N6770V Aircraft Incident — Atlantic Beach, FL","January 18, 2012"
53,"N731CA Aircraft Accident — Morristown, NJ","December 20, 2011"
54,"N661FT Aircraft Accident — Boynton Beach, FL","November 13, 2011"
55,"Socata/N37SV Aircraft Accident — Hollywood, FL","October 12, 2011"
56,Southwest Flight 735 — Greenville-Spartanburg International Airport,"July 10, 2011"
57,Cirrus Incident,"May 17, 2011"
58,Southwest Flight 812,"April 1, 2011"
59,"N569JL Beechcraft Baron BE-58 Aircraft Accident — Greensboro, NC","March 30, 2011"
60,Southwest Flight 821 — Central Florida TRACON,"March 27, 2011"
61,Southwest Flight 512 — Baltimore Washington International Airport,"February 20, 2011"
62,"N911TE Aircraft Incident — Teterboro, NJ","January 31, 2011"
63,USAirways Flight 1776 — Boston Logan International Airport,"November 15, 2010"
64,Southwest Flight 1445 — Los Angeles International Airport,"October 20, 2010"
65,"N57302 Aircraft Accident — Louisville, KY","October 7, 2010"
66,"N9263R Aircraft Accident — Chamblee, GA","September 20, 2010"
67,"N764CD Aircraft Accident — Caldwell, NJ","July 5, 2010"
68,Virgin Atlantic Flight One — Bradley International Airport,"June 22-23, 2010"
69,UAL Flight 663 — Denver CO,"April 7, 2010"
70,"N6913Z Accident — Roanoke, VA","March 30, 2010"
71,"Cirrus SR22, N443CP — Los Angeles, CA","February 19, 2010"
72,"Cessna 310R, N5225J — Palo Alto, CA","February 17, 2010"
73,United Airlines 634 — Newark Liberty International Airport,"January 10, 2010"
74,Royal Air Freight Flight 988 — Chicago Executive Airport,"January 5, 2010"
75,American Airlines 1402 — Charlotte Douglas Intl. Airport,"December 13, 2009"
76,"N5269X — Kissimmee, FL","December 8, 2009"
77,N9342C — Memphis International Airport,"November 29, 2009"
78,Denver Airspace NMAC,"November 23, 2009"
79,"N337MT — Greenville-Spartanburg Intl. Airport, SC","November 9, 2009"
80,"N4139X — Near Weston, FL","November 8, 2009"
81,Northwest Airlines Flight 188,"October 23, 2009"
82,"Delta Air Lines 60 — Atlanta, GA","October 19, 2009"
83,"N2467Y — Near Ft. Lauderdale, FL","September 20, 2009"
84,N71MC — Hudson Mid-Air Collision,"August 8, 2009"
85,"LN444WB — Miami Center, Lifeguard Flight","August 4, 2009"
86,"Continental Airlines 128 — Miami, FL","August 3, 2009"
87,Southwest Flight 2294,"July 13, 2009"
88,N4467D — Accident in the Gulf of Mexico,"July 8, 2009"
89,"N578DC — Rockbridge County, VA","July 5, 2009"
90,"N191MK — Accident Near Auburn, AL","May 15, 2009"
91,N1935G — Accident near Ft. Lauderdale Executive Airport,"April 17, 2009"
92,"N559DW — Emergency Landing at Southwest Florida International Airport in Ft. Myers, FL","April 12, 2009"
93,Colgan Air 3407,"February 12, 2009"
94,USAirways 1549 (AWE1549),"January 15, 2009"
95,N428DC — Marcus Schrenker Flight,"January 11, 2009"
96,"Continental 1404, Denver CO","December 21, 2008"
97,"N999LJ at Columbia, SC Metropolitan Airport","September 19, 2008"
98,"North Las Vegas Crash (Zip, 81.8 MB)","August 28, 2008"
99,North Las Vegas Crash,"August 22, 2008"
100,N3050E at Roanoke Airport,"August 18, 2008"
101,Midwest Airlines Charter 8663,"July 7, 2008"
102,JFK Go-Around — Cayman Airways and Lan Chile,"July 6, 2008"
103,American Airlines 896,"February 22, 2008"
104,South Florida Midair Collision,"December 8, 2007"
105,LAX Runway Incursion,"August 16, 2007"
106,FLL Runway Incursion,"July 11, 2007"
107,N501N Accident,"July 10, 2007"
108,Comair 5191 Accident,"August 27, 2006"
